word,freq,mean_tf,variance,cv,doc_freq
both,4619200,96233.33333333333,10991214963.305557,1.0894249611972298,48
value,4617570,96199.375,8179320552.151042,0.9401266500128348,48
each,4604168,95920.16666666667,10735560065.972223,1.0801956608470977,48
find,4561064,95022.16666666667,11272840486.722221,1.117356480015842,48
one,4547368,94736.83333333333,12245102386.888887,1.1680524547818234,48
compare,4427806,92245.95833333333,9979732013.331598,1.0829591937747363,48
however,4346004,90541.75,8718700516.5625,1.0312809506205678,48
do,4335832,90329.83333333333,11402541686.347223,1.1821419397482877,48
response,4273632,89034.0,22922288377.416668,1.7004861565894824,48
during,4258947,88728.0625,7393511428.058594,0.969090588912688,48
but,4240059,88334.5625,9535257476.954428,1.1054409533723488,48
author,4169371,86861.89583333333,7283806538.30165,0.9825392245401613,48
disease,4130286,86047.625,15006721904.526041,1.4236526124431665,48
l,4107450,85571.875,13405896118.276041,1.3530594436444723,48
into,4106453,85551.10416666667,7903442458.593316,1.0391602571645753,48
report,4068578,84762.04166666667,8831891487.78993,1.1087291176901108,48
r,4020095,83751.97916666667,7381856656.062065,1.0258591231155707,48
change,4006878,83476.625,5945537557.026042,0.9236994422768141,48
provide,3956266,82422.20833333333,7125534154.331597,1.0241521161041451,48
method,3931025,81896.35416666667,5174366824.103732,0.8783427854673114,48
could,3913161,81524.1875,7495865558.652344,1.06199975166414,48
system,3889809,81037.6875,5159488569.381511,0.8863725293812891,48
activity,3879168,80816.0,8862919350.25,1.164906443545073,48
associate,3860956,80436.58333333333,9962691476.32639,1.2408941171945675,48
indicate,3830182,79795.45833333333,8145472567.539932,1.131045221104162,48
while,3828293,79756.10416666667,6495610501.718315,1.0105226579824398,48
difference,3758856,78309.5,7673555405.333333,1.118623311532297,48
well,3748505,78093.85416666667,8146896025.416232,1.1557907908004346,48
those,3691059,76897.0625,6293014258.350261,1.031619655044031,48
risk,3680645,76680.10416666667,9803003627.093315,1.2912100196998881,48
number,3671208,76483.5,6761951504.958333,1.075148051557934,48
present,3661680,76285.0,7178239471.125,1.1106310751267745,48
potential,3638898,75810.375,6223910000.151042,1.04064597087822,48
significantly,3630684,75639.25,8090498998.604167,1.1891604051018403,48
review,3598520,74969.16666666667,6474285139.013888,1.07328047278785,48
when,3594394,74883.20833333333,7953820291.789931,1.1909771902821875,48
process,3592042,74834.20833333333,6427124506.373264,1.0712928045370556,48
follow,3578995,74562.39583333333,6154738631.73915,1.0521676701100633,48
participant,3555219,74067.0625,25566229197.933594,2.158779166060138,48
only,3548496,73927.0,6283641822.791667,1.0722662291623526,48
clinical,3546252,73880.25,12177413245.645834,1.493651109350497,48
function,3526171,73461.89583333333,6927490735.634983,1.1329893950587315,48
support,3497340,72861.25,8655221026.770834,1.2768575939658915,48
they,3489193,72691.52083333333,11975001129.416231,1.505407330141462,48
through,3471848,72330.16666666667,6100059020.597221,1.0798105161121145,48
there,3409594,71033.20833333333,5740003074.123264,1.0665829372621138,48
type,3366816,70142.0,6965230553.916667,1.189842844574005,48
article,3362618,70054.54166666667,4790921314.41493,0.9880370333772448,48
identify,3357110,69939.79166666667,6590276375.414929,1.1607200319189666,48
health,3320931,69186.0625,28630368154.891926,2.4456530788066093,48
f,3316932,69102.75,5587726418.479167,1.0817383741838844,48
age,3316700,69097.91666666667,8136704897.368056,1.3054472545635456,48
most,3315946,69082.20833333333,5017017162.164931,1.0253132771181523,48
cancer,3308335,68923.64583333333,36859570642.10374,2.7855239308082638,48
role,3307415,68904.47916666667,8938493204.0829,1.3720966462505506,48
condition,3305136,68857.0,7154556562.958333,1.2284097747034806,48
write,3257910,67873.125,5417972557.526042,1.084477522820987,48
supplementary,3257900,67872.91666666667,8615952336.659721,1.3675875282875942,48
suggest,3225105,67189.6875,6328383394.464844,1.1839783743275492,48
non,3223010,67146.04166666667,5171506054.706597,1.0709966271399431,48
year,3176936,66186.16666666667,5641683586.513889,1.1348465297700607,48
tumor,3173338,66111.20833333333,43486408669.9566,3.1542904166774797,48
three,3152632,65679.83333333333,5587909664.263889,1.1381320313884322,48
v,3151464,65655.5,5149039340.458333,1.0929291061326754,48
rate,3136449,65342.6875,4135250202.4648438,0.9841332452157804,48
cd,3135766,65328.458333333336,76784921045.28993,4.241657146049625,48
specific,3082454,64217.791666666664,7167939356.831596,1.3183836070340258,48
first,3074311,64048.145833333336,4966905629.9579,1.1003640488765563,48
individual,3034624,63221.333333333336,10084822055.597221,1.5884387346750737,48
perform,3013912,62789.833333333336,4992291371.472222,1.125280082893474,48
development,2979920,62081.666666666664,4612754524.638889,1.0939986954785494,48
mouse,2919368,60820.166666666664,21047947679.76389,2.385378342443288,48
among,2891351,60236.479166666664,5721839347.874566,1.255764641923581,48
measure,2885147,60107.229166666664,5896387700.176648,1.2775158807688625,48
relate,2883780,60078.75,5087700856.270833,1.1872437605021509,48
score,2875611,59908.5625,7155764563.871094,1.412014390088602,48
target,2872565,59845.104166666664,7848120700.134983,1.4803152376360995,48
within,2869996,59791.583333333336,3601902936.8680553,1.0037509021565807,48
observe,2865384,59695.5,4420117515.166667,1.113718192259863,48
pathway,2863115,59648.229166666664,10128825884.634981,1.6872599500702525,48
day,2838992,59145.666666666664,5201426821.305556,1.2193778871901457,48
reduce,2831765,58995.104166666664,4182137268.9266496,1.096183269631553,48
human,2775247,57817.645833333336,6113827634.0204,1.3523720635548513,48
case,2754651,57388.5625,3788511771.8294272,1.072528827687149,48
relationship,2753728,57369.333333333336,7462864776.430557,1.505819729693204,48
mean,2718442,56634.208333333336,3764851785.581597,1.08341565756478,48
signal,2711095,56481.145833333336,7432622464.124565,1.5263971207247127,48
represent,2702977,56312.020833333336,3292355266.1037326,1.0189484974602194,48
conduct,2685353,55944.854166666664,3725777058.4995666,1.0910591254047637,48
make,2684767,55932.645833333336,3900279010.9370666,1.1165610510440995,48
lead,2679189,55816.4375,3454214261.5794272,1.0529615733833948,48
any,2671284,55651.75,3028305889.5625,0.9888286592050075,48
under,2669892,55622.75,6649898548.979167,1.4660711689553103,48
total,2653727,55285.979166666664,3627570279.228733,1.0894138989072537,48
immune,2620454,54592.791666666664,33634996744.12326,3.359389743601583,48
mechanism,2530948,52728.083333333336,4340670228.701389,1.2495004340686358,48
due,2529797,52704.104166666664,2248855253.8433166,0.899779958945303,48
tissue,2504756,52182.416666666664,7629815102.618054,1.6739127546903407,48
area,2491502,51906.291666666664,2889013994.331598,1.0355112464546008,48
state,2476145,51586.354166666664,2473348295.8537326,0.9640683013359732,48
positive,2471514,51489.875,5871081570.067708,1.4881174852686787,48
finding,2462856,51309.5,4164079070.1666665,1.2576555196924875,48
stress,2459084,51230.916666666664,8814722366.284723,1.8326190314048914,48
plant,2449547,51032.229166666664,53927790783.301636,4.550527834918522,48
region,2442995,50895.729166666664,2536774428.239149,0.9895997680830185,48
population,2433345,50694.6875,3814251654.5065103,1.218266273578079,48
demonstrate,2429208,50608.5,3538697934.5833335,1.175434087231916,48
term,2418888,50393.5,2565206176.6666665,1.00504756531668,48
material,2413097,50272.854166666664,2475228308.9578996,0.989632819112287,48
some,2404938,50102.875,2964461684.5677085,1.0867015174630146,48
work,2358428,49133.916666666664,6222206744.993054,1.6054280021048921,48
involve,2353091,49022.729166666664,3249163379.7391496,1.1627551975696317,48
k,2315101,48231.270833333336,2547684818.9058156,1.0465118356917493,48
induce,2303109,47981.4375,7906054071.246094,1.8531331926528474,48
express,2265931,47206.895833333336,5071033854.384983,1.50849130536849,48
consider,2259477,47072.4375,2201514036.1627603,0.9967678963318815,48
evaluate,2259310,47068.958333333336,2318096452.373264,1.022895254894098,48
interaction,2238056,46626.166666666664,3558286694.180556,1.2793540743742926,48
concentration,2233124,46523.416666666664,4588993902.034722,1.4560863767694368,48
sequence,2230393,46466.520833333336,9293982504.166231,2.0747260946167416,48
large,2227218,46400.375,1610815457.1510417,0.8649707145308431,48
il,2221810,46287.708333333336,27780481747.49826,3.6008431693819762,48
acid,2214964,46145.083333333336,6657314329.534722,1.7681703220445208,48
improve,2210647,46055.145833333336,2126739153.707899,1.0013339739665352,48
decrease,2198078,45793.291666666664,2358332268.831598,1.0604754878622977,48
therefore,2193802,45704.208333333336,2310885426.998264,1.0517996360777955,48
approach,2192091,45668.5625,1945294940.1627605,0.9657737277166231,48
need,2187214,45566.958333333336,3139762339.581597,1.2296976646639828,48
growth,2180263,45422.145833333336,6400592879.041233,1.7613369853056051,48
then,2163713,45077.354166666664,2430482259.3120666,1.093673805957992,48
will,2162945,45061.354166666664,2451452616.3537326,1.098771820452102,48
important,2159571,44991.0625,2494692406.8502603,1.1101515077136546,48
respectively,2150506,44802.208333333336,2753841730.706597,1.1713051887820118,48
as,2143452,44655.25,2295742573.2708335,1.072973680172586,48
variable,2130270,44380.625,4407563163.734375,1.495911353690828,48
impact,2118024,44125.5,2597027350.8333335,1.1549112775176813,48
x,2110417,43967.020833333336,1587996812.0620658,0.9063538292002276,48
image,2106648,43888.5,2279370553.2916665,1.0878192222321135,48
range,2099434,43738.208333333336,1700612797.2482636,0.942848105036939,48
infection,2089868,43538.916666666664,11121265039.534723,2.4221413100168525,48
information,2082076,43376.583333333336,3495221979.243056,1.3629566427536346,48
cause,2076936,43269.5,1954067019.7083333,1.0216163874266009,48
structure,2068072,43084.833333333336,1829086736.7638886,0.9926421969448244,48
addition,2067370,43070.208333333336,2310511784.831597,1.1160332185977997,48
affect,2058599,42887.479166666664,2438676513.916233,1.1514539601544973,48
interest,2052249,42755.1875,1889706139.8190105,1.0167362824456785,48
water,2043388,42570.583333333336,5413557728.576388,1.7283503619520366,48
performance,2031559,42324.145833333336,3974744461.666233,1.4895888207520656,48
influence,2024999,42187.479166666664,3120875691.6245656,1.3242032808335764,48
specie,2021371,42111.895833333336,7969567519.884983,2.1198863765221483,48
obtain,2014327,41965.145833333336,1658846450.9162323,0.9705420517807775,48
correlation,2011103,41897.979166666664,2384663815.8537326,1.1655220776819526,48
child,2010894,41893.625,10676401861.651041,2.466405699200505,48
who,1991936,41498.666666666664,4398756944.138888,1.5981989443629072,48
over,1982582,41303.791666666664,1502707070.7899306,0.9385280207421418,48
develop,1979237,41234.104166666664,1925144924.051649,1.064082131901716,48
where,1969391,41028.979166666664,1248697749.2703996,0.8612672889140308,48
o,1967647,40992.645833333336,2498496339.0620656,1.2193641106302722,48
determine,1961808,40871.0,2141800285.6666667,1.1323331510954366,48
assess,1952647,40680.145833333336,2083574302.707899,1.1220752810644559,48
size,1947259,40567.895833333336,1442076171.6349823,0.93607709376954,48
line,1944998,40520.791666666664,2899742007.789931,1.3289289376058804,48
up,1939393,40404.020833333336,1644161214.6870658,1.0035698678968366,48
outcome,1936976,40353.666666666664,2905353815.8888893,1.3357233316091435,48
analyze,1936161,40336.6875,2122895393.673177,1.142257627645247,48
social,1933619,40283.729166666664,13168332882.197481,2.84862794755933,48
experiment,1928935,40186.145833333336,3113979370.9162326,1.388613904568223,48
thus,1926194,40129.041666666664,2215161686.7065973,1.1728539296478826,48
scale,1914253,39880.270833333336,4095941377.864149,1.6047920607257236,48
across,1913701,39868.770833333336,1942873069.1349823,1.1055779483699257,48
network,1912778,39849.541666666664,1411434478.2482638,0.9427727700190727,48
point,1912776,39849.5,1802128127.75,1.0652951652738665,48
ml,1899130,39565.208333333336,4508201853.123263,1.6970249197894358,48
further,1895948,39498.916666666664,1844734253.7847226,1.087380953274277,48
same,1881094,39189.458333333336,1944940894.2482636,1.1253404847213777,48
anti,1878666,39138.875,10324177970.026041,2.596087959578017,48
student,1875323,39069.229166666664,16395907082.259985,3.277425900732421,48
design,1862271,38797.3125,1670611257.2565105,1.0535036844611685,48
enhance,1853341,38611.270833333336,2193097340.9058156,1.2128716870987277,48
characteristic,1851679,38576.645833333336,1521555793.1037323,1.01115905904093,48
set,1851444,38571.75,1485875903.4375,0.9993599173575617,48
like,1844301,38422.9375,2072357654.766927,1.1847911198751069,48
feature,1837997,38291.604166666664,1690843474.3224828,1.0738611777576985,48
reveal,1833467,38197.229166666664,2025268232.0933163,1.1781739471609811,48
drug,1827601,38075.020833333336,6331095317.603733,2.089773782574712,48
edit,1821467,37947.229166666664,1812859122.343316,1.122023513151364,48
brain,1815774,37828.625,4009376921.234375,1.6738552056938687,48
distribution,1811615,37741.979166666664,1138275831.6037328,0.8939208908865726,48
co,1801432,37529.833333333336,2103183094.8888886,1.2219738308991244,48
min,1797846,37455.125,2178305689.7760415,1.2460864173837831,48
original,1785481,37197.520833333336,1422685757.1245658,1.0140059331971683,48
similar,1783278,37151.625,1593205254.5260417,1.0743803350893997,48
strategy,1782325,37131.770833333336,2051247031.051649,1.219728920404749,48
china,1781408,37112.666666666664,2074473350.8055553,1.2272464065180198,48
negative,1780069,37084.770833333336,3218876714.9683166,1.5298771988984272,48
form,1778645,37055.104166666664,1556794725.0099828,1.064799006436757,48
several,1775657,36992.854166666664,1520881520.7912328,1.0542166016847732,48
should,1775243,36984.229166666664,2077815608.551649,1.2325000078360795,48
quality,1772771,36932.729166666664,1860414062.7391498,1.167867050086001,48
small,1772617,36929.520833333336,1085730526.2495658,0.8922516333336543,48
university,1762753,36724.020833333336,1970879959.1870658,1.2088707281627953,48
blood,1760451,36676.0625,3214485271.1002603,1.5458701666720094,48
remain,1758039,36625.8125,1422476601.7773438,1.0297582924821485,48
inflammatory,1755988,36583.083333333336,8092062343.284721,2.4589477677052476,48
stage,1754684,36555.916666666664,2412348123.659723,1.3435762293710154,48
long,1753817,36537.854166666664,1150410540.1662328,0.9282893928390525,48
far,1745625,36367.1875,1567823188.5690105,1.0887767194546956,48
accord,1742780,36307.916666666664,1512490613.6597223,1.071136982238817,48
new,1741597,36283.270833333336,1346810965.0724823,1.0114557582928432,48
if,1736606,36179.291666666664,1815979071.498264,1.1778645735086644,48
therapy,1735639,36159.145833333336,4976490807.874566,1.9509378758205258,48
activation,1735071,36147.3125,5995368074.131511,2.142061382809538,48
early,1734201,36129.1875,1508218581.6940105,1.0749145675754124,48
previous,1730203,36045.895833333336,1658208454.7183158,1.1297015880312677,48
although,1700633,35429.854166666664,1483047807.7912328,1.0869466062480944,48
u,1699135,35398.645833333336,900445368.3120657,0.8476997122548389,48
self,1689015,35187.8125,11440470715.235678,3.0396926806204947,48
experience,1672560,34845.0,6716698561.125,2.352000773098188,48
about,1666624,34721.333333333336,2924977831.430556,1.5576321238549162,48
require,1661106,34606.375,1130189229.3177083,0.9714478077079426,48
production,1657811,34537.729166666664,3206859846.322483,1.63963133794336,48
intervention,1655180,34482.916666666664,3228460675.909723,1.6477592481517922,48
various,1654989,34478.9375,1372417970.2252605,1.0744577031405664,48
contribute,1650453,34384.4375,1449628073.079427,1.1073027318359319,48
conflict,1646412,34300.25,1367466506.5208333,1.0781050082339991,48
animal,1642113,34210.6875,2852664548.1731772,1.561218002708733,48
without,1636449,34092.6875,1158756062.673177,0.9984694285164251,48
association,1636152,34086.5,1886391258.8333333,1.274187902573812,48
behavior,1632694,34014.458333333336,7355618494.956596,2.521424907762971,48
see,1627211,33900.229166666664,2425196131.926649,1.4526828165260517,48
treat,1625818,33871.208333333336,3165513617.3732643,1.6610832654333039,48
multiple,1612694,33597.791666666664,1363889006.8315973,1.0992052188074217,48
focus,1609902,33539.625,2101457387.1510417,1.3667909402420282,48
promote,1608223,33504.645833333336,2332662003.7287326,1.4415206766469513,48
give,1603612,33408.583333333336,1455048865.8680553,1.1417755250622357,48
pattern,1599112,33314.833333333336,1246282021.8055553,1.0596697092134764,48
evidence,1597679,33284.979166666664,1554678157.603733,1.1846006293652251,48
strain,1597615,33283.645833333336,13376975637.937065,3.4749461268038067,48
describe,1594179,33212.0625,1372676504.9335938,1.1155479786215137,48
complex,1590338,33132.041666666664,1355427451.9149306,1.1111941332437139,48
receptor,1587416,33071.166666666664,5054042565.263888,2.149660773514313,48
would,1581186,32941.375,2043661962.4010417,1.3723434310652585,48
current,1564341,32590.4375,1072801561.1210938,1.0050079746477054,48
parameter,1559523,32490.0625,732526602.3919271,0.8330309816891474,48
mm,1559031,32479.8125,1681511491.5273438,1.26251459201392,48
out,1553929,32373.520833333332,1223071822.749566,1.0802792795677596,48
how,1532551,31928.145833333332,2999395294.6245666,1.715312112974581,48
content,1530459,31884.5625,3426346801.9127603,1.8358415589967638,48
publisher,1529437,31863.270833333332,959503262.2391495,0.9721490873714707,48
play,1524688,31764.333333333332,1714412200.1805553,1.3035205417395703,48
key,1522920,31727.5,1238878164.0416667,1.109375183002276,48
single,1514720,31556.666666666668,1244747224.6805556,1.1180197124639384,48
regulate,1507300,31402.083333333332,2746584735.534722,1.6689296842733907,48
post,1500118,31252.458333333332,1267081118.831597,1.1389850530955394,48
contain,1497154,31190.708333333332,2037926665.581597,1.4473349129339248,48
product,1489783,31037.145833333332,1188698384.624566,1.110846521532897,48
culture,1489468,31030.583333333332,2993038542.2430553,1.7630564378913975,48
investigate,1484524,30927.583333333332,1196639510.534722,1.118499214290068,48
temperature,1478659,30805.395833333332,1938103163.6558158,1.4290968159573585,48
four,1477064,30772.166666666668,1285489994.472222,1.1651350696249267,48
receive,1476624,30763.0,1546469729.1666667,1.2783271894106112,48
trial,1466111,30543.979166666668,2083380976.6453993,1.4943720368931854,48
average,1462430,30467.291666666668,937636433.2065972,1.0050400929523275,48
example,1458683,30389.229166666668,1412755596.8433158,1.236840888454231,48
comparison,1457443,30363.395833333332,986501460.0724827,1.0344238491857718,48
good,1457055,30355.3125,1322221525.4648438,1.1978912796468328,48
because,1454358,30299.125,1257419123.9427083,1.1703343278198304,48
standard,1453048,30271.833333333332,857726724.9305557,0.9674660800768755,48
component,1449095,30189.479166666668,972595094.124566,1.0330240124454722,48
environment,1448383,30174.645833333332,1850397871.9370658,1.4255760114460847,48
subject,1447458,30155.375,1504279665.609375,1.2861735048850105,48
phase,1444461,30092.9375,825757080.7669271,0.95490808416691,48
task,1443104,30064.666666666668,7293247841.388889,2.840560823080162,48
exhibit,1441193,30024.854166666668,1274025773.8745658,1.1887983682864223,48
detect,1438465,29968.020833333332,1568025062.0203993,1.3213517309402387,48
mg,1438033,29959.020833333332,2026999596.6870658,1.5027931823734668,48
family,1436565,29928.4375,2073038842.2460938,1.5213168513721673,48
great,1436421,29925.4375,1085336055.9127605,1.1008841198199835,48
contribution,1430909,29810.604166666668,784669117.780816,0.9396638131471242,48
take,1429798,29787.458333333332,1338998461.956597,1.2284474728142383,48
community,1426241,29713.354166666668,4371207257.228732,2.2250973669590643,48
future,1422988,29645.583333333332,1311678582.7430556,1.221669448996265,48
many,1422112,29627.333333333332,923130470.4305557,1.0255078270960523,48
overall,1421503,29614.645833333332,1138782879.1453993,1.1394989291607749,48
dna,1417614,29533.625,3097030074.984375,1.8843256296293514,48
index,1415280,29485.0,921550839.5833334,1.0295762538617397,48
ci,1411705,29410.520833333332,1727199110.7078993,1.4130856539300118,48
site,1411441,29405.020833333332,1277316127.9787328,1.2154237165336672,48
cognitive,1401813,29204.4375,4615637255.621094,2.326306795158312,48
surface,1399611,29158.5625,1494547266.954427,1.3258326740521127,48
body,1392763,29015.895833333332,970499726.0516495,1.0736475195868056,48
primary,1385647,28867.645833333332,1152679484.2287328,1.1760963801977957,48
period,1385281,28860.020833333332,730802371.6870661,0.9367060683932249,48
weight,1385275,28859.895833333332,971239002.3849827,1.079862097270006,48
less,1379611,28741.895833333332,1124627898.6349828,1.166780105201343,48
per,1378121,28710.854166666668,1003665600.8745661,1.103439195530067,48
produce,1377229,28692.270833333332,1692817021.2808158,1.4339700707665928,48
furthermore,1371583,28574.645833333332,1020259303.6037327,1.117826563067874,48
functional,1371369,28570.1875,1180346981.1523438,1.202518471723227,48
note,1362493,28385.270833333332,761874912.405816,0.9724086069161613,48
medium,1362222,28379.625,1609994458.4427083,1.4138571683526417,48
resistance,1361042,28355.041666666668,2821711964.7899303,1.8733807359286192,48
symptom,1354533,28219.4375,2561798347.0377603,1.7935938985260473,48
field,1354529,28219.354166666668,746863658.0203992,0.9684419500219854,48
j,1351089,28147.6875,729820550.0481771,0.959765916747306,48
before,1349939,28123.729166666668,809055211.6974826,1.0113842190517464,48
statistical,1349682,28118.375,875727159.7760416,1.0524323545191503,48
ratio,1346271,28047.3125,766645291.6731771,0.9872019010738592,48
life,1328838,27684.125,2027883602.6927083,1.6266372381923475,48
second,1320559,27511.645833333332,1158590498.395399,1.2372242087036862,48
frequency,1319433,27488.1875,898502867.0690104,1.090469766293588,48
technology,1315225,27400.520833333332,673671761.9578993,0.947251613611102,48
energy,1315216,27400.333333333332,1542146735.3055553,1.4332006723436859,48
ability,1314136,27377.833333333332,1582435383.6805556,1.4529943225060253,48
survival,1311428,27321.416666666668,4356522366.618055,2.415832166007683,48
calculate,1303343,27152.979166666668,619765425.312066,0.9168455595410745,48
via,1299438,27071.625,1247078632.0677083,1.3044654877818203,48
medical,1297998,27041.625,1802657862.0260417,1.5700875417511697,48
common,1295850,26996.875,806068018.609375,1.0516527203444612,48
them,1292960,26936.666666666668,1388001221.5555556,1.3830920089540368,48
soil,1291172,26899.416666666668,7744504311.409722,3.2715529280655176,48
assessment,1288478,26843.291666666668,911500111.4982638,1.1247152733856403,48
old,1285885,26789.270833333332,2025755855.8641489,1.6800904322835348,48
month,1276354,26590.708333333332,1312845040.4149306,1.362626489993258,48
mediate,1275592,26574.833333333332,2357730175.180556,1.827159673013767,48
might,1270595,26470.729166666668,1101172358.905816,1.2536079744340285,48
resource,1262287,26297.645833333332,1348195799.0203993,1.396238511246462,48
challenge,1261401,26279.1875,900747494.4856771,1.1420617800951913,48
select,1257537,26198.6875,790961395.1315104,1.0734902615608022,48
apply,1255292,26151.916666666668,548458079.1597222,0.8955053720187295,48
generate,1252830,26100.625,760370511.984375,1.0564810852800206,48
financial,1251746,26078.041666666668,707954316.748264,1.0202994257269802,48
investigation,1250681,26055.854166666668,791019875.7078992,1.0794148366097092,48
predict,1241001,25854.1875,971963176.9440104,1.2058520106505315,48
normal,1240027,25833.895833333332,918154311.0933161,1.1729187659525344,48
against,1238675,25805.729166666668,2115868067.947483,1.782494330484318,48
application,1233487,25697.645833333332,734220106.9370661,1.0544349621435398,48
relative,1232417,25675.354166666668,1207929419.5203993,1.353643606665512,48
whether,1226127,25544.3125,1316681895.673177,1.4205162737740273,48
cluster,1225981,25541.270833333332,1304728183.739149,1.4142217742747765,48
adult,1225131,25523.5625,1676541683.9127605,1.6042272388174323,48
absence,1221141,25440.4375,744801259.5377604,1.072742842629949,48
